deploy_20210621,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,,deploy_20210623,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,,deploy_20210626,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,,deploy_20210627,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,,deploy_20210628,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,,deploy_20210629,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,,deploy_20210630,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,,deploy_20210701_A,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,,deploy_20210701_B,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,,deploy_20210701_C,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,,deploy_20210701_D,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,,deploy_20210701_E,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,
,,,12.192,207058,0,solo,,,,,,,12.192,207058,0,solo,,,,,,,12.192,207058,0,solo,,,,,,,13.208,207056,0,solo,,slid 22 cm,,,,,12.192,207058,0,solo,,,,,,,,,,,,,,,,,12.192,207058,0,solo,,,,,,,,,,,,,,,,,12.192,207058,0,solo,,,,,,,,,,,,,,,,,12.192,207058,0,solo,,,,,,,,,,,,,
,,,12.7,207062,0,solo,,,,,,,12.7,207062,0,solo,,,,,,,12.7,207062,0,solo,,,,,,,13.716,207022,0,solo,,slid 25 cm,,,,,12.7,207062,0,solo,,,,,,,,,,,,,,,,,12.7,207062,0,solo,,,,,,,,,,,,,,,,,12.7,207062,0,solo,,,,,,,,,,,,,,,,,12.7,207062,0,solo,,,,,,,,,,,,,
,,,13.208,207056,0,solo,,,,,,,13.208,207056,0,solo,,,,,,,13.208,207056,0,solo,,,,,,,14.224,207033,0,solo,,slid 29 cm,,,,,13.208,207056,0,solo,,,,,,,,,,,,,,,,,13.208,207056,0,solo,,,,,,,,,,,,,,,,,13.208,207056,0,solo,,,,,,,,,,,,,,,,,13.208,207056,0,solo,,,,,,,,,,,,,
,,,13.716,207022,0,solo,,,,,,,13.716,207022,0,solo,,,,,,,13.716,207022,0,solo,,,,,,,14.732,60183,0,concerto,,weird serial number 60528,,,,,13.716,207022,0,solo,,,,,,,,,,,,,,,,,13.716,207022,0,solo,,,,,,,,,,,,,,,,,13.716,207022,0,solo,,,,,,,,,,,,,,,,,13.716,207022,0,solo,,,,,,,,,,,,,
,,,14.224,207033,0,solo,,,,,,,14.224,207033,0,solo,,slid down 22cm,,,,,14.224,207033,0,solo,,,,,,,15.24,207024,0,solo,,,,,,,14.224,207033,0,solo,,,,,,,,,,,,,,,,,14.224,207033,0,solo,,,,,,,,,,,,,,,,,14.224,207033,0,solo,,,,,,,,,,,,,,,,,14.224,207033,0,solo,,,,,,,,,,,,,
,,,14.732,60183,0,concerto,,weird serial number 60528,,,,,14.732,60183,0,concerto,,weird serial number 60528,,,,,14.732,60183,0,concerto,,weird serial number 60528,,,,,15.748,207019,0,solo,,slid 14 cm,,,,,14.732,60183,0,concerto,,weird serial number 60528,,,,,,,,,,,,,,,14.732,60183,0,concerto,,weird serial number 60528,,,,,,,,,,,,,,,14.732,60183,0,concerto,1,weird serial number 60528,,,,,,,,,,,,,,,14.732,60183,0,concerto,1,weird serial number 60528,,,,,,,,,,,
,,,15.24,207024,0,solo,,,,,,,15.24,207024,0,solo,,slid down 22cm,,,,,15.24,207024,0,solo,,,,,,,16.256,207023,0,solo,,,,,,,15.24,207024,0,solo,,,,,,,,,,,,,,,,,15.24,207024,0,solo,,,,,,,,,,,,,,,,,15.24,207024,0,solo,,slipped 24cm,,,,,,,,,,,,,,,15.24,207024,0,solo,,slipped 24cm,,,,,,,,,,,
,,,15.748,207019,0,solo,,Slid 12in down the cable during deployment,,,,,15.748,207019,0,solo,,slid down 8cm,,,,,15.748,207019,0,solo,,,,,,,16.764,207030,0,solo,,,,,,,15.748,207060,0,solo,,,,,,,,,,,,,,,,,15.748,207060,0,solo,,,,,,,,,,,,,,,,,15.748,207060,0,solo,,,,,,,,,,,,,,,,,15.748,207060,0,solo,,,,,,,,,,,,,
,,,16.256,207023,0,solo,,Slid 17in down the cable during deployment,,,,,16.256,207023,0,solo,,slid down 13cm,,,,,16.256,207023,0,solo,,,,,,,17.272,207027,0,solo,,,,,,,16.256,207023,0,solo,,,,,,,,,,,,,,,,,16.256,207023,0,solo,,,,,,,,,,,,,,,,,16.256,207023,0,solo,,,,,,,,,,,,,,,,,16.256,207023,0,solo,,,,,,,,,,,,,
,,,16.764,207030,0,solo,,Slid 6in down the cable during deployment,,,,,16.764,207030,0,solo,,slid down 40cm,,,,,16.764,207030,0,solo,,,,,,,17.78,60558,0,concerto,,,,,,,16.764,207030,0,solo,,,,,,,,,,,,,,,,,16.764,207030,0,solo,,,,,,,,,,,,,,,,,16.764,207030,0,solo,,,,,,,,,,,,,,,,,16.764,207030,0,solo,,,,,,,,,,,,,
,,,17.272,207027,0,solo,,,,,,,17.272,207027,0,solo,,slid down 21cm,,,,,17.272,207027,0,solo,,,,,,,18.288,207028,0,solo,,,,,,,17.272,207027,0,solo,,,,,,,,,,,,,,,,,17.272,207027,0,solo,,,,,,,,,,,,,,,,,17.272,207027,0,solo,,,,,,,,,,,,,,,,,17.272,207027,0,solo,,,,,,,,,,,,,
,,,17.78,60558,0,concerto,,,,,,,17.78,60558,0,concerto,,,,,,,17.78,60558,0,concerto,,,,,,,,,,,,,,,,,17.78,60558,0,concerto,,,,,,,,,,,,,,,,,17.78,60558,0,concerto,,,,,,,,,,,,,,,,,17.78,60558,0,concerto,,,,,,,,,,,,,,,,,17.78,60558,0,concerto,,,,,,,,,,,,,
,,,18.288,207028,0,solo,,,,,,,18.288,207028,0,solo,,slid down 19cm,,,,,18.288,207028,0,solo,,,,,,,,,,,,,,,,,18.288,207028,0,solo,,,,,,,,,,,,,,,,,18.288,207028,0,solo,,,,,,,,,,,,,,,,,18.288,207028,0,solo,,,,,,,,,,,,,,,,,18.288,207028,0,solo,,,,,,,,,,,,,
